,repository_name,language
187,ml-symphony,Svelte
188,ml-tada,Python
189,ml-tarflow,Python
190,ml-tic-clip,Python
191,ml-tic-lm,Python
192,ml-toad,Python
193,ml-tract,Python
194,ml-transcript-translation-consistency-ratings,
195,ml-translate-vis,TypeScript
196,ml-tree-dst,Python
197,ml-tune-mode-convbn,Python
198,ml-tweak,Python
199,ml-ui-jepa,Python
200,ml-uncertainty-llms-instruction-following,Python
201,ml-upscale,Jupyter Notebook
202,ml-uwac,Python
203,ml-veclip,Jupyter Notebook
204,ml-vfi-smiff,Python
205,ml-vfm-kt,
206,ml-vision-transformers-ane,Python
207,ml-vivid,Python
208,music-feed-examples,Java
209,openjdk,Java
210,parameterized-transforms,Python
211,password-manager-resources,JavaScript
212,pfl-research,Jupyter Notebook
213,pir-service-example,Swift
214,pkl,Java
215,pkl-evolution,
216,pkl-go,Go
217,pkl-go-examples,Go
218,pkl-intellij,Kotlin
219,pkl-jvm-examples,Groovy
220,pkl-k8s,Pkl
221,pkl-k8s-examples,Pkl
222,pkl-lang.org,JavaScript
223,pkl-lsp,Kotlin
224,pkl-neovim,Lua
225,pkl-package-docs,Kotlin
226,pkl-pantry,Pkl
227,pkl-project-commons,Pkl
228,pkl-spring,Java
229,pkl-swift,Swift
230,pkl-swift-examples,Swift
231,pkl-vscode,TypeScript
232,pkl.tmbundle,Pkl
233,pytorch-speech-features,Python
234,rules_pkl,Starlark
235,sample-backyard-birds,Swift
236,sample-cloudkit-coredatasync,Swift
237,sample-cloudkit-encryption,Swift
238,sample-cloudkit-privatedb,Swift
239,sample-cloudkit-privatedb-sync,Swift
240,sample-cloudkit-queries,Swift
241,sample-cloudkit-sharing,Swift
242,sample-cloudkit-sync-engine,Swift
243,sample-cloudkit-tooling,JavaScript
244,sample-cloudkit-zonesharing,Swift
245,sample-fbounds-safety-adoption,HTML
246,sample-food-truck,Swift
247,security-pcc,Swift
248,servicetalk,Java
249,swift-3-api-guidelines-review,Swift
250,swift-algorithms,Swift
251,swift-argument-parser,Swift
252,swift-asn1,Swift
253,swift-async-algorithms,Swift
254,swift-async-dns-resolver,Swift
255,swift-atomics,Swift
256,swift-binary-parsing,Swift
257,swift-cassandra-client,Swift
258,swift-certificates,Swift
259,swift-clang,C++
260,swift-clang-tools-extra,C++
261,swift-cluster-membership,Swift
262,swift-collections,Swift
263,swift-collections-benchmark,Swift
264,swift-compiler-rt,C
265,swift-container-plugin,Swift
266,swift-crypto,Assembly
267,swift-distributed-actors,Swift
268,swift-distributed-tracing,Swift
269,swift-distributed-tracing-baggage-core,Swift
270,swift-distributed-tracing-extras,Swift
271,swift-evolution-staging,Swift
272,swift-homomorphic-encryption,Swift
273,swift-homomorphic-encryption-protobuf,
274,swift-http-structured-headers,Swift
275,swift-http-types,Swift
276,swift-internals,HTML
277,swift-issues,
278,swift-libcxx,C++
279,swift-llbuild2,Swift
280,swift-lldb,C++
281,swift-llvm,LLVM
282,swift-log,Swift
283,swift-metrics,Swift
284,swift-metrics-extras,Swift
285,swift-mmio,Swift
286,swift-nio,Swift
287,swift-nio-examples,Swift
288,swift-nio-extras,Swift
289,swift-nio-http2,Swift
290,swift-nio-imap,Swift
291,swift-nio-nghttp2-support,Swift
292,swift-nio-oblivious-http,Swift
293,swift-nio-ssh,Swift
294,swift-nio-ssl,Assembly
295,swift-nio-ssl-support,Swift
296,swift-nio-transport-services,Swift
297,swift-nio-zlib-support,Swift
298,swift-ntp,Swift
299,swift-numerics,Swift
300,swift-openapi-generator,Swift
301,swift-openapi-runtime,Swift
302,swift-openapi-urlsession,Swift
303,swift-play-experimental,Swift
304,swift-protobuf,Swift
305,swift-protobuf-plugin,
306,swift-protobuf-test-conformance,
307,swift-sample-distributed-actors-transport,Swift
308,swift-service-context,Swift
309,swift-service-discovery,Swift
310,swift-standard-library-preview,Swift
311,swift-statsd-client,Swift
312,swift-string-processing-benchmarks,Swift
313,swift-system,Swift
314,swift-tools-support-async,Swift
315,swift-xcode-playground-support,Swift
316,swiftpm-on-llbuild2,Swift
317,tensor-visualizer,Svelte
318,tensorflow_macos,Shell
319,ToolSandbox,Python
320,tree-sitter-pkl,Kotlin
321,turicreate,C++
322,unityplugins,C#
323,VideoFlashingReduction,Mathematica
324,visatronic-demo,HTML
325,vqg-multimodal-assistant,Python
